0.01 8.49257 3.39542
0.02 8.49428 2.91449
0.03 8.48922 3.04527
0.04 8.49474 3.39469
0.05 8.4898 2.65835
0.06 8.49348 3.135
0.07 8.49766 2.8633
0.08 8.48482 2.71517
0.09 8.49752 3.39256
0.1 8.5001 3.43239
0.11 8.49348 3.9394
0.12 8.48388 4.89641
0.13 8.48777 4.32103
0.14 8.49728 3.40818
0.15 8.49465 3.6418
0.16 8.49511 2.86269
0.17 8.49917 4.38955
0.18 8.50481 3.7812
0.19 8.49713 2.79435
0.2 8.49315 3.23803
0.21 8.52133 2.67904
0.22 8.52347 3.35792
0.23 8.52583 4.327
0.24 8.51487 3.80391
0.25 8.51521 3.4631
0.26 8.51556 6.54695
0.27 8.52052 5.89767
0.28 8.50051 2.87715
0.29 8.32602 4.73559
0.3 8.3288 4.58177
0.31 8.32776 4.4392
0.32 8.32599 4.39181
0.33 8.3199 3.54414
0.34 8.32858 4.84529
0.35 8.32114 5.28484
0.36 8.32933 4.74522
0.37 8.32531 4.02093
0.38 8.31666 6.58596
0.39 8.32823 5.40757
0.4 8.3275 5.39802
0.41 8.31769 4.28985
0.42 8.32283 4.78275
0.43 8.31541 6.99465
0.44 8.31971 6.44271
0.45 8.31137 6.78319
0.46 8.31956 4.76288
0.47 8.32754 4.75032
0.48 8.321 4.97174
0.49 8.32179 3.49173
0.5 8.31859 4.31634
0.51 8.32901 6.03909
0.52 8.31872 5.08848
0.53 8.32347 4.28698
0.54 8.32141 7.37548
0.55 8.33209 4.96955
0.56 8.33573 6.5935
0.57 8.33556 3.15625
0.58 8.33228 5.15691
0.59 8.33338 5.59026
0.6 8.33648 4.14539
0.61 8.34413 4.82195
0.62 8.34876 2.92556
0.63 8.33813 4.08653
0.64 8.54207 4.04352
0.65 8.56346 3.74703
0.66 8.54585 6.75413
0.67 8.55425 4.92006
0.68 8.57737 5.84698
0.69 8.56736 5.19569
0.7 8.58028 4.51584
0.71 8.58463 7.73604
0.72 8.58094 4.28984
0.73 8.5971 7.6107
0.74 8.59473 7.14737
0.75 8.60096 5.17247
0.76 8.60021 6.03285
0.77 8.62068 3.66606
0.78 8.6211 4.24929
0.79 8.62768 3.90373
0.8 8.61509 7.90796
0.81 8.62477 8.09519
0.82 8.63981 7.3381
0.83 8.65024 4.0974
0.84 8.64541 7.27898
0.85 8.65449 5.44288
0.86 8.65722 5.57439
0.87 8.66364 5.69157
0.88 8.66598 5.60804
0.89 8.67923 5.32344
0.9 8.67334 13.242
0.91 8.69161 6.64064
0.92 8.6957 5.14949
0.93 8.68714 8.25695
0.94 8.69387 4.33326
0.95 8.69596 10.0623
0.96 8.71584 6.57206
0.97 8.71422 10.5086
0.98 8.71912 3.0706
0.99 8.7205 6.32836
1 8.50638 5.44371
