10 1.6e-05 1e-05
20 9.1e-05 3.3e-05
30 0.000351 0.000153
40 0.000663 0.000411
50 0.001163 0.000256
60 0.002234 0.001285
70 0.004224 0.002025
80 0.007248 0.00437
90 0.011145 0.005386
100 0.012067 0.003309
110 0.016076 0.005172
120 0.021658 0.007257
130 0.028483 0.012071
140 0.036116 0.016176
150 0.045027 0.010199
160 0.055072 0.016972
170 0.066323 0.019752
180 0.078646 0.025485
190 0.09347 0.035043
200 0.109556 0.040049
210 0.127469 0.053554
220 0.147707 0.058328
230 0.170287 0.080189
240 0.194747 0.092347
250 0.221921 0.100548
260 0.251629 0.089691
270 0.28283 0.14424
280 0.317075 0.112349
290 0.353839 0.186494
300 0.393321 0.198883
310 0.43654 0.144146
320 0.480931 0.271206
330 0.529461 0.181743
340 0.581423 0.213348
350 0.634239 0.400332
360 0.693772 0.226703
370 0.753676 0.270592
380 0.817227 0.264367
390 0.886638 0.438171
400 0.956664 0.643205
410 1.03313 0.459101
420 1.11332 0.448969
430 1.19893 0.374887
440 1.28746 0.373558
450 1.38386 0.485269
460 1.48307 0.476261
470 1.58608 0.589058
480 1.7002 0.738484
490 1.80833 0.643899
500 1.93017 0.801471
510 2.05817 0.803882
520 2.19485 0.827756
530 2.33247 1.1904
540 2.47647 0.810606
550 2.62323 1.15994
560 2.76664 1.40904
570 2.92697 1.65786
580 3.09186 1.31334
590 3.25247 1.55394
600 3.42881 1.44142
610 3.61618 2.27669
620 3.80024 1.25086
630 4.00067 1.61672
640 4.20939 2.34764
650 4.41459 3.28566
660 4.61913 2.06041
670 4.84284 2.02569
680 5.08431 2.9179
690 5.31449 3.60702
700 5.55957 2.03446
710 5.82461 2.03157
720 6.08829 1.97604
730 6.3275 2.68923
740 6.5857 3.98784
750 6.7909 4.07065
760 7.10621 4.99038
770 7.36879 2.11177
780 7.67226 3.82618
790 7.97935 2.67761
800 8.30302 3.24818
810 8.61857 4.31605
820 8.97116 3.07469
830 9.38988 5.76327
840 9.72439 5.47391
850 10.017 4.34376
860 10.46 4.58763
870 10.8159 3.90498
880 11.1945 7.58717
890 11.657 6.83992
900 12.1207 5.47536
910 12.6028 7.3643
920 12.9228 8.28928
930 13.4917 5.73064
940 13.8565 11.8834
950 14.4434 7.06684
960 15.0008 8.68372
970 15.5732 8.28592
980 15.83 12.3091
990 16.5826 6.87054
1000 16.9411 7.68554
